Student Id,Quiz ,Midterm,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam,Total,Grade,Categories
87,9.01,5.32,2.98,4.01,2.89,9.01,8.12,39,80.34,A,Excellent
88,4.89,12.01,4.01,3.23,4.01,5.67,7.34,36,77.16,A-,Distinction
89,7.23,7.89,2.67,2.67,2.32,8.34,9.01,31,71.13,B+,Distinction
90,3.76,9.45,3.56,3.45,3.78,6.78,6.89,30,67.67,B,Distinction
91,8.01,11.76,4.32,4.56,2.54,9.45,8.45,23,72.09,B+,Distinction
92,4.56,5.89,2.1,2.98,4.56,5.21,7.56,26,58.86,C+,Pass
93,6.12,14.32,3.01,3.12,2.1,7.56,9.45,28,73.68,B+,Distinction
94,3.98,7.23,4.45,4.32,3.01,6.23,6.45,34,69.67,B,Distinction
95,9.45,10.98,2.32,2.1,4.32,8.9,8.9,36,82.97,A,Excellent
96,5.67,6.45,3.89,3.56,2.98,5.98,7.12,34,69.65,B,Distinction
97,7.89,13.12,4.56,4.01,3.56,10.1,9.67,38,90.91,A+,Exceptional
98,4.32,8.34,2.87,2.43,4.45,6.45,6.56,31,66.42,B,Distinction
99,6.01,5.67,3.12,3.89,2.43,9.34,8.23,37,75.69,A-,Distinction
100,3.21,12.45,4.01,4.45,3.23,5.32,7.78,36,76.45,A-,Distinction
101,8.9,6.01,2.54,2.76,4.01,8.01,9.34,37,78.57,A-,Distinction
102,5.09,14.09,3.45,3.01,2.76,6.67,6.01,32,73.08,B+,Distinction
103,7.56,9.87,4.09,4.23,3.89,9.12,8.67,33,80.43,A,Excellent
104,3.1,11.34,2.76,2.32,4.23,5.89,7.23,34,70.87,B+,Distinction
105,9.34,5.21,3.78,3.67,2.87,8.45,9.12,38,80.44,A,Excellent
106,5.43,13.78,4.21,4.56,3.12,6.01,6.34,36,79.45,A-,Distinction
107,6.45,7.56,2.98,2.21,4.01,7.78,8.01,31,70,B+,Distinction
108,3.87,10.67,3.56,3.78,2.32,5.56,7.01,32,68.77,B,Distinction
109,8.21,6.89,4.32,4.01,3.45,8.23,9.56,36,80.67,A,Excellent
110,4.01,14.54,2.43,2.87,4.56,6.34,6.12,35,75.87,A-,Distinction
111,7.34,8.01,3.1,3.34,2.21,9.67,8.78,37,79.45,A-,Distinction
112,3.56,11.23,4.65,4.09,3.67,5.1,7.45,33,72.75,B+,Distinction
113,9.12,5.43,2.21,2.65,4.09,7.23,9.89,31,71.62,B+,Distinction
114,5.78,12.56,3.34,3.12,2.98,6.89,6.67,32,73.34,B+,Distinction
115,6.89,7.12,4.56,4.32,3.12,8.56,8.34,36,78.91,A-,Distinction
116,3.23,10.12,2.89,2.98,4.32,5.78,7.67,37,73.99,B+,Distinction
117,8.45,6.34,3.67,3.45,2.65,7.34,9.78,31,72.68,B+,Distinction
118,4.78,14.76,4.23,4.12,3.56,6.45,6.23,32,76.13,A-,Distinction
119,7.67,8.9,2.01,2.01,4.45,9.89,8.45,36,79.38,A-,Distinction
120,3.34,11.45,3.45,3.56,2.01,5.01,7.23,38,74.05,B+,Distinction
121,9.67,5.01,4.12,4.45,3.78,8.12,9.01,30,74.16,B+,Distinction
122,5.21,13.23,2.32,2.32,4.01,6.56,6.89,23,63.54,B-,Pass
123,6.23,7.34,3.98,3.98,2.32,9.56,8.56,28,69.97,B,Distinction
124,6.23,10.21,3.12,3.89,2.78,4.56,5.67,23,59.46,C+,Pass
125,4.89,6.45,2.45,4.12,4.23,8.23,8.23,34,72.6,B+,Distinction
126,8.45,13.78,4.01,3.45,3.56,7.12,7.12,35,82.49,A,Excellent
127,3.67,4.89,3.56,4.01,2.98,6.45,6.45,29,61.01,B-,Pass
128,9.12,11.34,2.98,3.56,3.45,9.01,9.01,37,85.47,A,Excellent
129,5.32,8.56,3.23,4.23,4.01,5.34,5.34,22,58.03,C+,Pass
130,7.89,5.32,4.32,3.78,2.32,8.9,8.9,32,73.43,B+,Distinction
131,4.56,3.67,2.76,4.32,3.67,4.76,4.76,21,49.5,C-,Pass
132,8.01,14.23,3.45,3.67,4.12,6.89,6.89,22,69.26,B,Distinction
133,3.78,6.78,4.56,4.56,2.89,4.56,4.56,20,51.69,C,Pass
134,6.45,12.09,2.1,3.21,3.01,7.12,9.34,35,78.32,A-,Distinction
135,4.32,7.56,3.78,4.45,4.45,5.34,5.01,33,67.91,B,Distinction
136,9.01,4.12,4.01,3.12,2.54,8.9,7.89,31,70.59,B+,Distinction
137,5.67,9.45,2.32,4.09,3.89,6.01,4.32,36,71.75,B+,Distinction
138,7.34,5.67,3.67,3.23,4.23,4.76,6.78,35,70.68,B+,Distinction
139,3.23,13.01,4.12,4.65,2.65,9.45,4.89,36,78,A-,Distinction
140,6.78,8.9,2.89,3.34,3.34,5.67,9.45,31,71.37,B+,Distinction
141,4.01,6.01,3.01,4.01,4.01,7.89,5.23,36,70.17,B+,Distinction
142,8.9,14.45,4.45,3.98,2.43,6.23,7.56,37,85,A,Excellent
143,5.21,7.12,2.54,4.21,3.56,4.32,4.12,11,42.08,D+,Fail
144,7.56,11.23,3.89,3.45,4.32,9.56,8.45,31,79.46,A-,Distinction
145,3.12,5.98,4.23,4.32,2.21,5.98,6.01,34,65.85,B,Distinction
146,9.45,12.54,2.65,3.12,3.12,7.21,4.23,37,79.32,A-,Distinction
147,5.98,9.01,3.34,4.78,4.09,4.1,9.12,34,74.42,B+,Distinction
148,7.01,7.89,4.01,3.01,2.87,8.09,5.78,36,74.66,B+,Distinction
149,3.45,3.23,2.43,4.89,3.01,6.78,7.67,39,70.46,B+,Distinction
150,8.67,13.56,3.56,3.9,4.56,4.45,4.45,30,73.15,B+,Distinction
151,4.78,6.23,4.32,4.32,2.98,9.34,8.56,32,72.53,B+,Distinction
152,7.23,10.78,2.21,3.12,3.45,5.12,6.23,36,74.14,B+,Distinction
153,3.56,4.56,3.12,4.56,4.01,7.56,4.1,34,65.47,B,Distinction
154,9.34,12.9,4.09,3.45,2.32,4.01,9.56,33,78.67,A-,Distinction
155,5.43,8.34,2.87,4.09,3.78,8.23,5.89,31,69.63,B,Distinction
156,6.56,5.21,3.01,3.67,4.23,6.45,7.34,30,66.47,B,Distinction
157,3.89,14.67,4.56,4.01,2.76,4.89,4.01,38,76.79,A-,Distinction
158,8.12,7.34,2.98,3.56,3.56,9.12,8.78,36,79.46,A-,Distinction
159,4.21,11.45,3.45,4.45,4.45,5.43,6.67,37,77.11,A-,Distinction
160,7.78,4.01,4.01,3.21,2.1,7.67,4.98,35,68.76,B,Distinction
161,3.01,9.67,2.32,4.12,3.67,4.56,9.67,33,70.02,B+,Distinction
162,9.56,5.78,3.78,3.78,4.12,8.78,5.45,30,71.25,B+,Distinction
163,5.12,13.12,4.23,4.23,2.76,6.01,7.23,34,76.7,A-,Distinction
164,6.89,6.89,2.76,3.89,3.56,4.23,4.34,38,70.56,B+,Distinction
165,6.78,8.56,3.45,4.23,2.45,8.23,8.56,32,74.26,B+,Distinction
166,4.56,7.89,2.76,3.67,3.12,6.45,7.89,33,69.34,B,Distinction
167,8.23,11.23,4.01,3.12,4.01,5.67,5.23,35,76.5,A-,Distinction
168,7.12,10.12,3.12,4.01,1.89,9.01,6.78,25,67.05,B,Distinction
169,5.34,5.67,2.32,3.56,2.34,7.89,9.01,29,65.13,B,Distinction
170,9.01,9.45,4.56,4.32,3.78,6.78,6.45,33,77.35,A-,Distinction
171,5.67,12.34,3.01,3.78,1.56,4.56,4.9,35,70.82,B+,Distinction
172,8.9,6.78,2.89,4.45,4.23,9.45,8.12,37,81.82,A,Excellent
173,4.76,14.56,4.23,3.89,2.67,8.9,5.67,33,77.68,A-,Distinction
174,6.89,4.78,3.67,4.56,3.45,5.34,7.34,36,72.03,B+,Distinction
175,4.56,8.9,2.54,3.21,1.23,7.12,6.01,34,67.57,B,Distinction
176,7.12,13.21,4.12,4.01,2.98,6.01,4.56,33,75.01,A-,Distinction
177,5.34,5.43,3.56,3.12,4.56,4.76,9.45,37,73.22,B+,Distinction
178,8.9,10.89,2.43,4.09,1.78,9.12,7.12,36,80.33,A,Excellent
179,6.01,6.12,4.32,3.23,2.1,5.98,5.78,34,67.54,B,Distinction
180,4.76,11.78,2.1,4.65,3.56,7.34,8.23,31,73.42,B+,Distinction
181,9.45,7.01,3.78,3.34,4.01,4.32,6.56,29,67.47,B,Distinction
182,5.23,14.01,4.01,4.01,1.32,8.56,4.89,34,76.03,A-,Distinction
183,7.56,5.32,2.98,3.98,2.89,6.23,9.12,30,68.08,B,Distinction
184,4.12,12.45,3.23,4.21,3.01,4.89,7.56,35,74.47,B+,Distinction
185,8.45,8.23,4.45,3.45,4.45,9.34,5.34,34,77.71,A-,Distinction
186,6.01,13.56,2.65,4.32,1.98,7.56,8.9,37,81.98,A,Excellent
187,4.23,6.45,3.34,3.12,2.43,6.67,6.23,35,67.47,B,Distinction
188,9.12,11.34,4.56,4.78,3.67,4.01,4.01,29,70.49,B+,Distinction
189,5.78,9.67,2.21,3.01,4.12,8.45,9.67,33,75.91,A-,Distinction
190,7.67,14.12,3.89,4.89,1.45,5.21,7.01,36,80.24,A,Excellent
191,4.45,4.56,4.23,3.9,2.76,7.67,5.45,37,70.02,B+,Distinction
192,8.56,10.34,2.87,4.32,3.23,6.12,8.34,36,79.78,A-,Distinction
193,6.23,7.56,3.56,3.12,4.32,4.45,6.89,34,70.13,B+,Distinction
194,4.1,12.78,4.32,4.56,1.67,8.78,4.32,37,77.53,A-,Distinction
195,9.56,5.89,2.01,3.45,2.21,5.12,9.23,32,69.47,B,Distinction
196,5.89,9.01,3.12,4.09,3.89,7.23,7.78,21,62.01,B-,Pass
197,7.34,13.45,4.09,3.67,4.01,4.1,5.01,27,68.67,B,Distinction
198,4.01,6.23,2.98,4.01,1.1,9.89,8.45,11,47.67,C-,Pass
199,8.78,11.9,3.45,3.56,2.54,8.01,6.34,30,74.58,B+,Distinction
200,6.67,8.01,4.01,4.45,3.34,5.43,4.45,34,70.36,B+,Distinction
201,4.98,14.67,2.32,3.21,4.56,7.01,9.56,34,80.31,A,Excellent
202,9.67,7.34,3.78,4.12,1.78,6.34,7.23,32,72.26,B+,Distinction
203,5.45,12.01,4.23,3.78,2.32,4.23,5.89,25,62.91,B-,Pass
204,7.23,5.21,2.76,4.23,3.56,9.56,8.67,34,75.22,A-,Distinction
205,4.34,10.45,3.56,3.89,4.01,5.65,6.12,30,68.02,B,Distinction
206,4.56,7.89,3.45,4.23,2.45,8.23,8.76,39.5,79.07,A-,Distinction
207,8.23,5.12,2.76,3.67,3.12,6.45,6.89,36,72.24,B+,Distinction
208,7.12,11.45,4.01,3.12,4.01,5.67,7.45,22,64.83,B-,Pass
209,6.45,9.67,3.12,4.01,1.89,9.01,5.78,33,72.93,B+,Distinction
210,9.01,4.23,2.32,3.56,2.34,7.89,9.23,32,70.58,B+,Distinction
211,5.34,12.56,4.56,4.32,3.78,6.78,6.34,34,77.68,A-,Distinction
212,8.9,6.78,3.01,3.78,1.56,4.56,8.01,35,71.6,B+,Distinction
213,4.76,14.23,2.89,4.45,4.23,9.45,5.56,31,76.57,A-,Distinction
214,6.89,5.43,4.23,3.89,2.67,8.9,7.12,30,69.13,B,Distinction
215,4.56,8.9,3.67,4.56,3.45,5.34,6.67,35,72.15,B+,Distinction
216,7.12,13.01,2.54,3.21,1.23,7.12,5.34,36,75.57,A-,Distinction
217,5.34,6.01,4.12,4.01,2.98,6.01,8.9,33,70.37,B+,Distinction
218,8.9,4.89,3.56,3.12,4.56,4.76,6.23,29,65.02,B,Distinction
219,6.01,10.34,2.43,4.09,1.78,9.12,7.89,31,72.66,B+,Distinction
220,4.76,7.12,4.32,3.23,2.1,5.98,5.45,35,67.96,B,Distinction
221,9.45,13.56,2.1,4.65,3.56,7.34,9.01,37,86.67,A,Excellent
222,5.67,8.45,3.78,3.34,4.01,4.32,7.56,30,67.13,B,Distinction
223,7.89,6.56,4.01,4.01,1.32,8.56,6.78,33,72.13,B+,Distinction
224,6.23,14.12,2.98,3.98,2.89,6.23,5.01,36,77.44,A-,Distinction
225,4.32,3.67,3.23,4.21,3.01,4.89,8.45,33.5,65.28,B,Distinction
226,9.56,9.01,4.45,3.45,4.45,9.34,6.01,31.5,77.77,A-,Distinction
227,5.98,11.78,2.65,4.32,1.98,7.56,7.23,32.5,74,B+,Distinction
228,7.21,4.56,3.34,3.12,2.43,6.67,5.89,38,71.22,B+,Distinction
229,4.1,12.23,4.56,4.78,3.67,4.01,9.56,30,72.91,B+,Distinction
230,8.09,7.34,2.21,3.01,4.12,8.45,6.45,33,72.67,B+,Distinction
231,6.78,5.78,3.89,4.89,1.45,5.21,8.34,35,71.34,B+,Distinction
232,4.45,10.45,4.23,3.9,2.76,7.67,5.12,36,74.58,B+,Distinction
233,9.34,3.45,2.87,4.32,3.23,6.12,7.67,38,75,A-,Distinction
234,5.12,13.34,3.56,3.12,4.32,4.45,6.12,37,77.03,A-,Distinction
235,7.56,6.23,4.32,4.56,1.67,8.78,8.56,34,75.68,A-,Distinction
236,4.01,8.56,2.01,3.45,2.21,5.12,5.67,37,68.03,B,Distinction
237,8.23,3.78,3.12,4.09,3.89,7.23,9.12,38,77.46,A-,Distinction
238,6.45,14.45,4.09,3.67,4.01,4.1,7.01,33,76.78,A-,Distinction
239,4.89,5.34,2.98,4.01,1.1,9.89,6.56,31,65.77,B,Distinction
240,9.12,11.12,3.45,3.56,2.54,8.01,8.23,23,69.03,B,Distinction
241,5.43,4.01,4.01,4.45,3.34,5.43,5.23,25,56.9,C+,Pass
242,7.67,12.78,2.32,3.21,4.56,7.01,9.45,22,69,B,Distinction
243,4.56,6.89,3.78,4.12,1.78,6.34,7.34,28,62.81,B-,Pass
244,8.78,9.89,4.23,3.78,2.32,4.23,6.01,34,73.24,B+,Distinction
245,6.01,3.23,2.76,4.23,3.56,9.56,8.9,32,70.25,B+,Distinction
246,4.23,7.01,3.56,3.89,4.01,5.65,5.98,31,65.33,B,Distinction
247,6.78,7.89,3.45,2.45,4.23,8.56,6.78,34,74.14,B+,Distinction
248,4.56,5.12,2.76,3.12,3.67,7.23,7.89,33,67.35,B,Distinction
249,8.23,11.45,4.01,4.01,3.12,6.45,8.45,36,81.72,A,Excellent
250,7.12,9.67,3.12,1.89,4.01,9.78,5.56,35,76.15,A-,Distinction
251,5.34,4.23,2.32,2.34,3.56,5.67,9.23,23,55.69,C+,Pass
252,9.01,12.56,4.56,3.78,4.32,4.89,6.34,29,74.46,B+,Distinction
253,5.67,6.78,3.01,1.56,3.78,7.56,8.01,28.5,64.87,B-,Pass
254,8.9,14.23,2.89,4.23,4.45,6.01,5.45,30,76.16,A-,Distinction
255,4.76,5.43,4.23,2.67,3.89,4.32,7.12,31,63.42,B-,Pass
256,6.89,8.9,3.67,3.45,4.56,9.01,6.67,30,73.15,B+,Distinction
257,4.56,13.01,2.54,1.23,3.21,8.23,5.34,25,63.12,B-,Pass
258,7.12,6.01,4.12,2.98,4.01,5.12,8.9,28,66.26,B,Distinction
259,5.34,4.89,3.56,4.56,3.12,4.76,6.23,34,66.46,B,Distinction
260,8.9,10.34,2.43,1.78,4.09,7.89,7.89,36,79.32,A-,Distinction
261,6.01,7.12,4.32,2.1,3.23,6.34,5.45,38,72.57,B+,Distinction
262,4.76,13.56,2.1,3.56,4.65,9.45,9.01,29,76.09,A-,Distinction
263,9.45,8.45,3.78,4.01,3.34,5.98,7.56,32,74.57,B+,Distinction
264,5.23,6.56,4.01,1.32,4.01,8.34,6.78,33,69.25,B,Distinction
265,7.56,14.12,2.98,2.89,3.98,6.78,5.01,31,74.32,B+,Distinction
266,4.12,3.67,3.23,3.01,4.21,4.56,8.45,36,67.25,B,Distinction
267,8.45,9.01,4.45,4.45,3.45,9.12,6.01,35,79.94,A-,Distinction
268,6.01,11.78,2.65,1.98,4.32,7.01,7.23,34,74.98,B+,Distinction
269,4.23,4.56,3.34,2.43,3.12,5.43,5.89,33.5,62.5,B-,Pass
270,9.12,12.23,4.56,3.67,4.78,8.9,9.56,36,88.82,A,Excellent
271,5.78,7.34,2.21,4.12,3.01,4.01,6.45,31,63.92,B-,Pass
272,7.67,5.78,3.89,1.45,4.89,6.67,8.34,33,71.69,B+,Distinction
273,4.45,10.45,4.23,2.76,3.9,8.12,5.12,35,74.03,B+,Distinction
274,8.56,3.45,2.87,3.23,4.32,4.45,7.67,32,66.55,B,Distinction
275,6.23,13.34,3.56,4.32,3.12,7.34,6.12,33,77.03,A-,Distinction
276,4.1,6.23,4.32,1.67,4.56,5.56,8.56,21,56,C+,Pass
277,9.56,8.56,2.01,2.21,3.45,9.56,5.67,29,70.02,B+,Distinction
278,5.89,3.78,3.12,3.89,4.09,6.23,9.12,26,62.12,B-,Pass
279,7.34,14.45,4.09,4.01,3.67,4.23,7.01,34,78.8,A-,Distinction
280,4.01,5.34,2.98,1.1,4.01,8.67,6.56,36,68.67,B,Distinction
281,8.78,11.12,3.45,2.54,3.56,7.45,8.23,34,79.13,A-,Distinction
282,6.67,4.01,4.01,3.34,4.45,4.98,5.23,36,68.69,B,Distinction
283,4.98,12.78,2.32,4.56,3.21,9.23,9.45,37,83.53,A,Excellent
284,9.67,6.89,3.78,1.78,4.12,5.89,7.34,35,74.47,B+,Distinction
285,5.45,9.89,4.23,2.32,3.78,7.78,6.01,33,72.46,B+,Distinction
286,7.23,3.23,2.76,3.56,4.23,4.1,8.9,31,65.01,B,Distinction
287,4.34,7.01,3.56,4.01,3.89,8.01,5.98,32,68.8,B,Distinction
288,7.23,3.45,4.23,2.45,3.67,7.89,8.76,34,71.68,B+,Distinction
289,6.45,2.76,3.67,3.12,4.01,8.45,7.89,33,69.35,B,Distinction
290,4.78,4.01,3.12,4.01,3.45,5.67,6.45,35,66.49,B,Distinction
291,9.01,3.12,4.01,1.89,4.23,6.78,5.78,38,72.82,B+,Distinction
292,7.89,2.32,3.56,2.34,3.12,4.32,9.23,37,69.78,B,Distinction
293,6.78,4.56,4.32,3.78,4.32,9.01,6.34,34,73.11,B+,Distinction
294,4.56,3.01,3.78,1.56,3.56,7.12,8.01,30,61.6,B-,Pass
295,9.45,2.89,4.45,4.23,4.01,8.9,5.56,33,72.49,B+,Distinction
296,8.9,4.23,3.89,2.67,3.23,6.01,7.12,34,70.05,B+,Distinction
297,5.34,3.67,4.56,3.45,4.45,4.56,6.67,36,68.7,B,Distinction
298,7.12,2.54,3.21,1.23,3.89,9.12,5.34,38,70.45,B+,Distinction
299,6.01,4.12,4.01,2.98,4.56,5.98,8.9,34,70.56,B+,Distinction
300,4.76,3.56,3.12,4.56,3.78,7.34,6.23,31,64.35,B-,Pass
301,9.12,2.43,4.09,1.78,4.01,6.23,7.89,30,65.55,B,Distinction
302,5.98,4.32,3.23,2.1,3.56,4.78,5.45,29.5,58.92,C+,Pass
303,7.34,2.1,4.65,3.56,4.12,9.45,9.01,3,43.23,D+,Fail
304,4.32,3.78,3.34,4.01,3.34,5.34,7.56,36,67.69,B,Distinction
305,8.56,4.01,4.01,1.32,4.23,8.34,6.78,38,75.25,A-,Distinction
306,6.23,2.98,3.98,2.89,3.12,6.67,5.01,35,65.88,B,Distinction
307,4.89,3.23,4.21,3.01,4.56,4.23,8.45,30,62.58,B-,Pass
308,9.34,4.45,3.45,4.45,3.01,9.67,6.01,38,78.38,A-,Distinction
309,7.56,2.65,4.32,1.98,4.67,7.56,7.23,35,70.97,B+,Distinction
310,6.67,3.34,3.12,2.43,3.56,6.12,5.89,36,67.13,B,Distinction
311,4.01,4.56,4.78,3.67,4.23,4.89,9.56,36.5,72.2,B+,Distinction
312,8.45,2.21,3.01,4.12,3.78,8.01,6.45,34,70.03,B+,Distinction
313,5.21,3.89,4.89,1.45,4.01,5.12,8.34,31,63.91,B-,Pass
314,7.67,4.23,3.9,2.76,3.23,7.23,5.12,23,57.14,C+,Pass
315,6.12,2.87,4.32,3.23,4.45,6.56,7.67,7,42.22,D+,Fail
316,4.45,3.56,3.12,4.32,3.89,4.01,6.12,12,41.47,D+,Fail
317,8.78,4.32,4.56,1.67,4.56,8.56,8.56,34,75.01,A-,Distinction
318,5.12,2.01,3.45,2.21,3.12,5.45,5.67,36,63.03,B-,Pass
319,7.23,3.12,4.09,3.89,4.01,7.78,9.12,38,77.24,A-,Distinction
